pincode,locality,city,state
110001,Connaught Place,New Delhi,Delhi
110016,Hauz Khas,New Delhi,Delhi
201301,Sector 15,Noida,Uttar Pradesh
226001,Hazratganj,Lucknow,Uttar Pradesh
208001,Mall Road,Kanpur,Uttar Pradesh
302001,MI Road,Jaipur,Rajasthan
462001,TT Nagar,Bhopal,Madhya Pradesh
800001,Gandhi Maidan,Patna,Bihar
400001,Fort,Mumbai,Maharashtra
400050,Bandra West,Mumbai,Maharashtra
411001,Camp,Pune,Maharashtra
440001,Sitabuldi,Nagpur,Maharashtra
431001,Nirala Bazar,Aurangabad,Maharashtra
380001,Lal Darwaja,Ahmedabad,Gujarat
390001,Sayajigunj,Vadodara,Gujarat
360001,Kalavad Road,Rajkot,Gujarat
395003,Ghod Dod Road,Surat,Gujarat
751001,Unit 4,Bhubaneswar,Odisha
753001,Buxi Bazaar,Cuttack,Odisha
760001,Berhampur Town,Berhampur,Odisha
600001,Parrys,Chennai,Tamil Nadu
600017,T Nagar,Chennai,Tamil Nadu
641001,Town Hall,Coimbatore,Tamil Nadu
625001,Madurai Main,Madurai,Tamil Nadu
620001,Cantonment,Tiruchirappalli,Tamil Nadu
682001,Marine Drive,Kochi,Kerala
682016,Kaloor,Kochi,Kerala
695001,Thampanoor,Thiruvananthapuram,Kerala
673001,SM Street,Kozhikode,Kerala
680001,Round South,Thrissur,Kerala
686001,Kottayam Town,Kottayam,Kerala
670001,Fort Road,Kannur,Kerala
560001,MG Road,Bengaluru,Karnataka
560038,Indiranagar,Bengaluru,Karnataka
500001,Abids,Hyderabad,Telangana
700001,BBD Bagh,Kolkata,West Bengal
700019,Ballygunge,Kolkata,West Bengal
781001,Fancy Bazar,Guwahati,Assam
